Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
1,Fernando\'a0Abad*\\abadfe01,28,OAK,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
2,Bobby\'a0Abreu*\\abreubo01,40,NYM,NL,78,155,133,12,33,9,0,1,14,1,0,20,21,.248,.342,.338,.680,97,45,3,0,0,2,0,9/7D\
3,Jose\'a0Abreu\\abreujo02,27,CHW,AL,145,622,556,80,176,35,2,36,107,3,1,51,131,.317,.383,.581,.964,173,323,14,11,0,4,15,*3D\
4,Tony\'a0Abreu#\\abreuto01,29,SFG,NL,3,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,/45\
5,Alfredo\'a0Aceves\\aceveal01,31,NYY,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
6,Dustin\'a0Ackley*\\ackledu01,26,SEA,AL,143,542,502,64,123,27,4,14,65,8,4,32,90,.245,.293,.398,.692,99,200,10,3,3,2,1,*7/D\
7,Cristhian\'a0Adames#\\adamecr01,22,COL,NL,7,15,15,1,1,0,0,0,0,0,0,0,5,.067,.067,.067,.133,-65,1,1,0,0,0,0,/64\
8,Lane\'a0Adams\\adamsla01,24,KCR,AL,6,3,3,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/8D7\
9,Matt\'a0Adams*\\adamsma01,25,STL,NL,142,563,527,55,152,34,5,15,68,3,2,26,114,.288,.321,.457,.779,116,241,9,3,0,7,5,*3\
10,Mike\'a0Adams\\adamsmi03,35,PHI,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
11,Jim\'a0Adduci*\\adducji02,29,TEX,AL,44,114,101,13,17,3,0,1,8,3,1,10,27,.168,.239,.228,.467,32,23,2,0,1,2,0,7/9D3\
12,Ehire\'a0Adrianza#\\adriaeh01,24,SFG,NL,53,106,97,10,23,6,0,0,5,1,1,5,22,.237,.279,.299,.578,66,29,2,1,2,1,1,4/65\
13,Jeremy\'a0Affeldt*\\affelje01,35,SFG,NL,59,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
14,Jesus\'a0Aguilar\\aguilje01,24,CLE,AL,19,38,33,2,4,0,0,0,3,0,0,4,13,.121,.211,.121,.332,-4,4,1,0,0,1,0,3/D5\
15,Nick\'a0Ahmed\\ahmedni01,24,ARI,NL,25,75,70,9,14,2,0,1,4,0,1,3,10,.200,.233,.271,.504,40,19,2,0,2,0,0,6/4\
16,Al\'a0Alburquerque\\albural01,28,DET,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
17,Arismendy\'a0Alcantara#\\alcanar01,22,CHC,NL,70,300,278,31,57,11,2,10,29,8,5,17,93,.205,.254,.367,.621,71,102,3,2,1,2,0,84\
18,Cody\'a0Allen\\allenco01,25,CLE,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
19,Abraham\'a0Almonte#\\almonab01,25,TOT,MLB,59,220,204,19,47,10,1,3,15,4,3,12,60,.230,.275,.333,.609,76,68,5,1,2,1,0,87/D\
20,Zoilo\'a0Almonte#\\almonzo01,25,NYY,AL,13,36,36,2,5,0,0,1,3,1,0,0,14,.139,.139,.222,.361,1,8,1,0,0,0,0,/79D\
21,Yonder\'a0Alonso*\\alonsyo01,27,SDP,NL,84,288,267,27,64,19,1,7,27,6,1,17,36,.240,.285,.397,.682,96,106,8,1,0,3,1,3/5\
22,Aaron\'a0Altherr\\altheaa01,23,PHI,NL,2,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/7\
23,Jose\'a0Altuve\\altuvjo01,24,HOU,AL,158,707,660,85,225,47,3,7,59,56,9,36,53,.341,.377,.453,.830,135,299,20,5,1,5,7,*4/D\
24,Dario\'a0Alvarez*\\alvarda01,25,NYM,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
25,Henderson\'a0Alvarez\\alvarhe01,24,MIA,NL,29,67,57,2,11,0,0,0,2,0,0,1,20,.193,.203,.193,.396,12,11,0,0,8,1,0,1\
26,Pedro\'a0Alvarez*\\alvarpe01,27,PIT,NL,122,445,398,46,92,13,1,18,56,8,3,45,113,.231,.312,.405,.717,101,161,12,2,0,0,6,5/3D\
27,R.J.\'a0Alvarez\\alvarrj01,23,SDP,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
28,Alexi\'a0Amarista*\\amarial01,25,SDP,NL,148,466,423,39,101,13,2,5,40,12,1,29,69,.239,.286,.314,.600,75,133,6,1,8,5,5,6548/7\
29,Hector\'a0Ambriz*\\ambrihe01,30,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
30,Brett\'a0Anderson*\\anderbr04,26,COL,NL,8,15,14,0,2,2,0,0,1,0,0,0,7,.143,.143,.286,.429,10,4,0,0,1,0,0,/1\
31,Bryan\'a0Anderson*\\anderbr05,27,OAK,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,\
32,Chase\'a0Anderson\\anderch01,26,ARI,NL,21,41,34,0,1,0,0,0,0,0,0,0,14,.029,.057,.029,.087,-75,1,0,1,6,0,0,1\
33,Elvis\'a0Andrus\\andruel01,25,TEX,AL,157,685,619,72,163,35,1,2,41,27,15,46,96,.263,.314,.333,.647,81,206,21,3,9,7,0,*6/D\
34,Dean\'a0Anna*\\annade01,27,NYY,AL,12,25,22,3,3,1,0,1,3,0,0,2,6,.136,.200,.318,.518,44,7,0,0,0,1,0,/641\
35,Norichika\'a0Aoki*\\aokino01,32,KCR,AL,132,549,491,63,140,22,6,1,43,17,8,43,49,.285,.349,.360,.710,99,177,5,6,8,1,0,*9/D7\
36,Chris\'a0Archer\\archech01,25,TBR,AL,2,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
37,Oswaldo\'a0Arcia*\\arciaos01,23,MIN,AL,103,410,372,46,86,16,3,20,57,1,2,31,127,.231,.300,.452,.752,108,168,6,6,0,1,4,9/D\
38,Nolan\'a0Arenado\\arenano01,23,COL,NL,111,467,432,58,124,34,2,18,61,2,1,25,58,.287,.328,.500,.828,115,216,13,4,1,5,1,*5\
39,J.P.\'a0Arencibia\\arencjp01,28,TEX,AL,62,222,203,20,36,9,0,10,35,0,0,10,62,.177,.239,.369,.608,67,75,6,7,0,2,0,32D/1\
40,Joaquin\'a0Arias\\ariasjo01,29,SFG,NL,107,204,193,18,49,9,0,0,15,1,0,8,23,.254,.281,.301,.581,67,58,1,0,1,2,2,5346/D\
41,Jake\'a0Arrieta\\arrieja01,28,CHC,NL,23,47,39,3,7,2,1,0,3,0,0,2,16,.179,.220,.282,.502,39,11,1,0,6,0,0,1\
42,Bronson\'a0Arroyo\\arroybr01,37,ARI,NL,15,31,27,5,6,0,0,0,0,0,0,0,12,.222,.222,.222,.444,25,6,0,0,4,0,0,1\
43,Erisbel\'a0Arruebarrena\\arrueba01,24,LAD,NL,22,45,41,4,8,1,0,0,4,0,0,3,17,.195,.244,.220,.464,34,9,1,0,0,1,0,6\
44,Cody\'a0Asche*\\ascheco01,24,PHI,NL,121,434,397,43,100,25,0,10,46,0,1,33,102,.252,.309,.390,.699,94,155,6,0,3,1,4,*5\
45,Scott\'a0Atchison\\atchisc01,38,CLE,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
46,Phillippe\'a0Aumont*\\aumonph01,25,PHI,NL,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
47,Alex\'a0Avila*\\avilaal01,27,DET,AL,124,457,390,44,85,22,0,11,47,0,3,61,151,.218,.327,.359,.686,94,140,6,3,1,2,1,*2/3D\
48,Luis\'a0Avilan*\\avilalu01,24,ATL,NL,59,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1\
49,Mike\'a0Aviles\\avilemi01,33,CLE,AL,113,374,344,38,85,16,1,5,39,14,5,13,49,.247,.273,.343,.616,72,118,10,1,11,5,0,5476/89\
50,Dylan\'a0Axelrod\\axelrdy01,28,CIN,NL,4,4,4,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
51,John\'a0Axford\\axforjo01,31,TOT,MLB,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
52,Erick\'a0Aybar#\\aybarer01,30,LAA,AL,156,642,589,77,164,30,4,7,68,16,9,36,62,.278,.321,.379,.700,103,223,10,5,3,8,4,*6\
53,Burke\'a0Badenhop\\badenbu01,31,BOS,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
54,Javier\'a0Baez\\baezja01,21,CHC,NL,52,229,213,25,36,6,0,9,20,5,1,15,95,.169,.227,.324,.551,52,69,5,1,0,0,0,64\
55,Pedro\'a0Baez\\baezpe01,26,LAD,NL,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
56,Homer\'a0Bailey\\baileho02,28,CIN,NL,22,51,41,3,6,0,0,0,3,0,0,2,18,.146,.186,.146,.332,-5,6,1,0,8,0,0,1\
57,Jeff\'a0Baker\\bakerje03,33,MIA,NL,90,225,208,27,55,10,4,3,28,1,0,13,51,.264,.307,.394,.701,95,82,8,1,0,3,1,34/5\
58,John\'a0Baker*\\bakerjo01,33,CHC,NL,68,208,182,9,35,7,0,0,15,0,0,19,58,.192,.273,.231,.504,43,42,3,2,3,2,3,2/1\
59,Scott\'a0Baker\\bakersc02,32,TEX,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
60,Grant\'a0Balfour\\balfogr01,36,TBR,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
61,Clint\'a0Barmes\\barmecl01,35,PIT,NL,48,116,102,15,25,5,0,0,7,1,1,9,18,.245,.328,.294,.622,77,30,2,4,0,1,2,64/35\
62,Brandon\'a0Barnes\\barnebr02,28,COL,NL,132,313,292,37,75,17,4,8,27,5,4,15,100,.257,.293,.425,.718,87,124,11,0,6,0,0,97/8D\
63,Matt\'a0Barnes\\barnema01,24,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
64,Darwin\'a0Barney\\barneda01,28,TOT,NL,94,262,237,24,57,11,2,3,23,1,0,17,34,.241,.300,.342,.642,79,81,1,4,2,2,2,4/6\
65,Tucker\'a0Barnhart#\\barnhtu01,23,CIN,NL,21,60,54,3,10,0,0,1,1,0,0,4,10,.185,.241,.241,.482,36,13,0,0,2,0,1,2\
66,Aaron\'a0Barrett\\barreaa01,26,WSN,NL,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
67,Jason\'a0Bartlett\\bartlja01,34,MIN,AL,3,4,3,3,0,0,0,0,0,0,0,0,3,.000,.250,.000,.250,-22,0,0,1,0,0,0,/7D\
68,Daric\'a0Barton*\\bartoda02,28,OAK,AL,30,64,57,7,9,1,0,0,5,0,0,5,14,.158,.234,.175,.410,20,10,0,1,0,1,0,3\
69,Antonio\'a0Bastardo\\bastaan01,28,PHI,NL,62,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0,1\
70,Trevor\'a0Bauer\\bauertr01,23,CLE,AL,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
71,Jose\'a0Bautista\\bautijo02,33,TOR,AL,155,673,553,101,158,27,0,35,103,6,2,104,96,.286,.403,.524,.928,161,290,18,9,1,6,11,*9D38\
72,Mike\'a0Baxter*\\baxtemi01,29,LAD,NL,4,8,7,0,0,0,0,0,0,0,0,1,2,.000,.125,.000,.125,-60,0,1,0,0,0,0,/7\
73,Pedro\'a0Beato\\beatope01,27,ATL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
74,Josh\'a0Beckett\\beckejo02,34,LAD,NL,20,43,39,4,7,3,0,0,2,0,0,1,14,.179,.200,.256,.456,30,10,0,0,3,0,0,1\
75,Gordon\'a0Beckham\\beckhgo01,27,TOT,AL,127,483,446,53,101,27,0,9,44,3,0,22,81,.226,.271,.348,.618,77,155,17,7,3,5,2,45/6D\
76,Erik\'a0Bedard*\\bedarer01,35,TBR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
77,Cam\'a0Bedrosian\\bedroca01,22,LAA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
78,Dallas\'a0Beeler\\beeleda01,25,CHC,NL,2,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,40,1,0,0,0,0,0,/1\
79,Joe\'a0Beimel*\\beimejo01,37,SEA,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
80,Ronald\'a0Belisario\\belisro01,31,CHW,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
81,Matt\'a0Belisle\\belisma01,34,COL,NL,64,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
82,Jeff\'a0Beliveau*\\belivje01,27,TBR,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
83,Heath\'a0Bell\\bellhe01,36,TBR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
84,Trevor\'a0Bell*\\belltr01,27,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
85,Vince\'a0Belnome*\\belnovi01,26,TBR,AL,4,14,10,1,1,1,0,0,1,0,0,3,3,.100,.286,.200,.486,43,2,0,0,0,1,1,/D\
86,Brandon\'a0Belt*\\beltbr01,26,SFG,NL,61,235,214,30,52,8,0,12,27,3,1,18,64,.243,.306,.449,.755,114,96,4,2,0,1,2,3/9\
87,Carlos\'a0Beltran#\\beltrca01,37,NYY,AL,109,449,403,46,94,23,0,15,49,3,1,37,80,.233,.301,.402,.703,98,162,11,4,0,5,2,D9/3\
88,Adrian\'a0Beltre\\beltrad01,35,TEX,AL,148,614,549,79,178,33,1,19,77,1,1,57,74,.324,.388,.492,.879,144,270,15,3,0,5,13,*5D\
89,Joaquin\'a0Benoit\\benoijo01,36,SDP,NL,49,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
90,Christian\'a0Bergman\\bergmch01,26,COL,NL,10,20,19,0,1,0,0,0,0,0,0,0,6,.053,.053,.053,.105,-72,1,0,0,1,0,0,1\
91,Roger\'a0Bernadina*\\bernaro01,30,TOT,NL,53,80,66,5,11,3,0,1,9,2,1,10,19,.167,.304,.258,.561,60,17,2,3,1,0,0,79/83\
92,Doug\'a0Bernier\\bernido01,34,MIN,AL,7,9,7,2,2,0,0,0,0,0,0,1,2,.286,.444,.286,.730,112,2,0,1,0,0,0,/64D\
93,Quintin\'a0Berry*\\berryqu01,29,BAL,AL,10,2,2,3,0,0,0,0,0,1,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/7D89\
94,Dellin\'a0Betances\\betande01,26,NYY,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
95,Christian\'a0Bethancourt\\bethach01,22,ATL,NL,31,117,113,7,28,3,0,0,9,1,1,3,26,.248,.274,.274,.548,56,31,3,1,0,0,0,2\
96,Chad\'a0Bettis\\bettich01,25,COL,NL,21,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
97,Mookie\'a0Betts\\bettsmo01,21,BOS,AL,52,213,189,34,55,12,1,5,18,7,3,21,31,.291,.368,.444,.812,126,84,2,2,1,0,0,849\
98,Jeff\'a0Bianchi\\biancje01,27,MIL,NL,29,74,70,4,12,1,0,0,6,0,0,3,17,.171,.203,.186,.388,9,13,1,0,0,1,0,6/54\
99,Vic\'a0Black\\blackvi01,26,NYM,NL,40,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
100,Charlie\'a0Blackmon*\\blackch02,27,COL,NL,154,648,593,82,171,27,3,19,72,28,10,31,96,.288,.335,.440,.775,103,261,3,13,6,5,5,*987\
101,Andres\'a0Blanco#\\blancan01,30,PHI,NL,25,53,47,4,13,5,0,1,3,0,0,2,6,.277,.306,.447,.753,108,21,4,0,4,0,1,5/64\
102,Gregor\'a0Blanco*\\blancgr01,30,SFG,NL,146,444,393,51,102,18,6,5,38,16,5,41,77,.260,.333,.374,.707,103,147,4,3,6,1,1,*87/9\
103,Kyle\'a0Blanks\\blankky01,27,TOT,MLB,26,66,55,10,17,1,0,2,7,0,0,8,16,.309,.409,.436,.845,143,24,3,2,0,1,0,3/D79\
104,Jerry\'a0Blevins*\\blevije01,30,WSN,NL,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
105,Willie\'a0Bloomquist\\bloomwi01,36,SEA,AL,47,139,133,15,37,6,0,1,14,1,1,4,32,.278,.297,.346,.643,86,46,1,0,1,1,1,64/35D79\
106,Brett\'a0Bochy\\bochybr02,26,SFG,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
107,Brennan\'a0Boesch*\\boescbr01,29,LAA,AL,27,79,75,6,14,2,0,2,7,3,0,2,19,.187,.203,.293,.496,42,22,0,0,0,2,1,D/978\
108,Xander\'a0Bogaerts\\bogaexa01,21,BOS,AL,144,594,538,60,129,28,1,12,46,2,3,39,138,.240,.297,.362,.660,83,195,11,8,2,7,1,65\
109,Mike\'a0Bolsinger\\bolsimi01,26,ARI,NL,10,20,19,1,2,0,0,0,1,0,0,0,7,.105,.105,.105,.211,-41,2,0,0,1,0,0,1\
110,Emilio\'a0Bonifacio#\\bonifem01,29,TOT,NL,110,426,394,47,102,17,4,3,24,26,8,26,85,.259,.305,.345,.650,82,136,2,0,6,0,2,84/5976D\
111,Justin\'a0Bour*\\bourju01,26,MIA,NL,39,83,74,10,21,3,0,1,11,0,0,9,19,.284,.361,.365,.726,105,27,0,0,0,0,1,3/D\
112,Jason\'a0Bourgeois\\bourgja01,32,CIN,NL,18,34,33,5,8,0,1,0,1,0,0,1,6,.242,.265,.303,.568,59,10,1,0,0,0,0,/789\
113,Peter\'a0Bourjos\\bourjpe01,27,STL,NL,119,294,264,32,61,9,5,4,24,9,3,20,78,.231,.294,.348,.643,80,92,5,4,5,1,1,8\
114,Michael\'a0Bourn*\\bournmi01,31,CLE,AL,106,487,444,57,114,17,10,3,28,10,6,35,114,.257,.314,.360,.674,89,160,5,3,3,2,1,8\
115,Brad\'a0Boxberger\\boxbebr01,26,TBR,AL,7,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
116,Blaine\'a0Boyer\\boyerbl01,32,SDP,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
117,Brad\'a0Brach\\brachbr01,28,BAL,AL,6,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1\
118,Jackie\'a0Bradley*\\bradlja02,24,BOS,AL,127,423,384,45,76,19,2,1,30,8,0,31,121,.198,.265,.266,.531,49,102,10,5,1,2,1,*89/D7\
119,Michael\'a0Brantley*\\brantmi02,27,CLE,AL,156,676,611,94,200,45,2,20,97,23,1,52,56,.327,.385,.506,.890,148,309,16,8,0,5,4,*78/D\
120,Ryan\'a0Braun\\braunry02,30,MIL,NL,135,580,530,68,141,30,6,19,81,11,5,41,113,.266,.324,.453,.777,113,240,17,6,0,3,3,*9/8D\
121,Bryce\'a0Brentz\\brentbr01,25,BOS,AL,9,26,26,5,8,2,0,0,2,0,0,0,9,.308,.308,.385,.692,92,10,0,0,0,0,0,/79\
122,Craig\'a0Breslow*\\breslcr01,33,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
123,Reid\'a0Brignac#\\brignre01,28,PHI,NL,37,91,81,4,18,5,1,1,10,1,1,9,33,.222,.300,.346,.646,80,28,2,0,1,0,1,5/46\
124,Drake\'a0Britton*\\brittdr01,25,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
125,Zach\'a0Britton*\\brittza01,26,BAL,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
126,Rex\'a0Brothers*\\brothre01,26,COL,NL,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
127,Andrew\'a0Brown\\brownan02,29,NYM,NL,19,49,44,6,8,1,0,2,7,0,0,3,15,.182,.245,.341,.586,67,15,2,1,0,1,0,/79D\
128,Brooks\'a0Brown*\\brownbr02,29,COL,NL,28,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
129,Corey\'a0Brown*\\brownco01,28,BOS,AL,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/D9\
130,Domonic\'a0Brown*\\browndo01,26,PHI,NL,144,512,473,47,111,22,1,10,63,7,1,34,91,.235,.285,.349,.634,77,165,9,1,0,4,4,*7/D\
131,Gary\'a0Brown\\brownga02,25,SFG,NL,7,7,7,1,3,0,0,0,1,0,0,0,0,.429,.429,.429,.857,148,3,0,0,0,0,0,/8\
132,Jonathan\'a0Broxton\\broxtjo01,30,TOT,NL,61,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
133,Jay\'a0Bruce*\\bruceja01,27,CIN,NL,137,545,493,71,107,21,1,18,66,12,3,44,149,.217,.281,.373,.654,82,184,8,2,1,5,5,*9/3\
134,David\'a0Buchanan\\buchada01,25,PHI,NL,19,39,30,2,3,1,0,0,2,0,0,4,10,.100,.206,.133,.339,-2,4,0,0,5,0,0,1\
135,Jake\'a0Buchanan\\buchaja01,24,HOU,AL,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1\
136,Clay\'a0Buchholz*\\buchhcl01,29,BOS,AL,2,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,181,1,0,0,0,0,0,1\
137,Ryan\'a0Buchter*\\buchtry01,27,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
138,John\'a0Buck\\buckjo01,33,TOT,AL,32,97,89,9,20,2,0,1,6,0,0,8,26,.225,.289,.281,.570,67,25,1,0,0,0,0,2/D3\
139,Billy\'a0Buckner\\bucknbi02,30,SDP,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
140,Francisley\'a0Bueno*\\buenofr01,33,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
141,Madison\'a0Bumgarner\\bumgama01,24,SFG,NL,31,78,66,10,17,2,0,4,15,0,0,2,29,.258,.286,.470,.755,113,31,0,1,8,1,0,1\
142,A.J.\'a0Burnett\\burnea.01,37,PHI,NL,30,65,60,5,8,2,0,0,1,0,0,3,23,.133,.175,.167,.341,-4,10,2,0,2,0,0,1\
143,Billy\'a0Burns#\\burnsbi02,24,OAK,AL,13,6,6,4,1,0,0,0,0,3,1,0,0,.167,.167,.167,.333,-4,1,0,0,0,0,0,/D8\
144,Jared\'a0Burton\\burtoja01,33,MIN,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
145,Drew\'a0Butera\\buterdr01,30,LAD,NL,61,192,170,16,32,6,1,3,14,0,0,17,41,.188,.267,.288,.555,59,49,1,2,1,2,1,2/13\
146,Billy\'a0Butler\\butlebi03,28,KCR,AL,151,603,549,57,149,32,0,9,66,0,0,41,96,.271,.323,.379,.702,96,208,21,5,0,8,3,D3\
147,Dan\'a0Butler\\butleda01,27,BOS,AL,7,20,19,1,4,3,0,0,2,0,0,1,5,.211,.250,.368,.618,70,7,1,0,0,0,0,/2\
148,Eddie\'a0Butler\\butleed01,23,COL,NL,3,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1\
149,Joey\'a0Butler\\butlejo04,28,STL,NL,6,6,5,0,0,0,0,0,0,0,0,1,3,.000,.167,.000,.167,-48,0,0,0,0,0,0,/9\
150,Keith\'a0Butler\\butleke01,25,STL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
151,Marlon\'a0Byrd\\byrdma01,36,PHI,NL,154,637,591,71,156,28,2,25,85,3,2,35,185,.264,.312,.445,.757,109,263,6,8,0,3,7,*9/D\
152,Asdrubal\'a0Cabrera#\\cabreas01,28,TOT,MLB,146,616,553,74,133,31,4,14,61,10,2,49,108,.241,.307,.387,.694,93,214,15,7,1,6,2,64/D\
153,Everth\'a0Cabrera#\\cabreev01,27,SDP,NL,90,391,357,36,83,13,1,3,20,18,8,20,86,.232,.272,.300,.572,67,107,5,1,9,4,0,6\
154,Melky\'a0Cabrera#\\cabreme01,29,TOR,AL,139,621,568,81,171,35,3,16,73,6,2,43,67,.301,.351,.458,.808,128,260,19,3,2,5,3,*7/9D8\
155,Miguel\'a0Cabrera\\cabremi01,31,DET,AL,159,685,611,101,191,52,1,25,109,1,1,60,117,.313,.371,.524,.895,150,320,21,3,0,11,10,*3D5\
156,Trevor\'a0Cahill\\cahiltr01,26,ARI,NL,31,29,24,0,2,1,0,0,0,0,0,1,5,.083,.120,.125,.245,-31,3,0,0,4,0,0,1\
157,Lorenzo\'a0Cain\\cainlo01,28,KCR,AL,133,502,471,55,142,29,4,5,53,28,5,24,108,.301,.339,.412,.751,109,194,9,4,0,3,2,*89/D\
158,Matt\'a0Cain\\cainma01,29,SFG,NL,14,30,27,1,4,0,0,0,0,0,0,2,13,.148,.233,.148,.381,13,4,0,1,0,0,0,1\
159,Kole\'a0Calhoun*\\calhoko01,26,LAA,AL,127,537,493,90,134,31,3,17,58,5,3,38,104,.272,.325,.450,.776,123,222,5,2,2,2,0,*9/3\
160,Alberto\'a0Callaspo#\\callaal01,31,OAK,AL,127,451,404,37,90,15,0,4,39,0,1,40,50,.223,.290,.290,.580,67,117,18,1,0,6,1,4D35\
161,Arquimedes\'a0Caminero\\caminar01,27,MIA,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
162,Shawn\'a0Camp\\campsh01,38,PHI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
163,Tony\'a0Campana*\\campato01,28,TOT,MLB,44,76,75,10,14,1,1,0,5,4,2,0,16,.187,.197,.227,.424,19,17,0,1,0,0,0,8/7D\
